,Feature,Coefficients (B)
0,applicationDate,-0.0
1,publicationDate,0.3078022488619045
2,numberOfInventors,-0.019106949807368327
3,numberOfClaims,0.19311171631843174
4,numberOfPagesOfDocuments,0.20973914439448307
5,numberOfCitedPatents,0.3286069514288505
6,numberOfPatentsCitedBy,0.03217811739075323
7,numberOfNonPatentLiteratureCitations,0.10108184313890194
8,patsnapFamilyPatentApplicationNumber,-0.0
9,patSnapFamilyCitedPatentTotal,-0.08158384143040194
10,numberOfCitationsWithin3Years,0.0
11,numberOfCitationsWithin5Years,-0.12170775009630654
12,inpadocFamilyPatentApplicationNumber,-0.029888257909613383
13,simpleFamilyCitedPatentTotal,0.16305615537953658
14,currentNumberOfApplicantsPatentees,-0.1647982801556136
15,simpleFamilyPatentApplicationNumber,0.29808982457726896
16,priorityCountryRegion_BY,0.0
17,priorityCountryRegion_AT,0.0
18,priorityCountryRegion_BE,0.0
19,priorityCountryRegion_MX,0.0
20,priorityCountryRegion_FR,0.0
21,priorityCountryRegion_KR,0.0
22,priorityCountryRegion_BR,0.0
23,priorityCountryRegion_UA,0.0
24,priorityCountryRegion_NL,0.0
25,priorityCountryRegion_SE,0.0
26,priorityCountryRegion_PL,0.0
27,priorityCountryRegion_PT,0.0
28,priorityCountryRegion_IN,0.0
29,priorityCountryRegion_DK,0.0
30,priorityCountryRegion_DE,0.0
31,priorityCountryRegion_TW,0.0
32,priorityCountryRegion_CN,0.0
33,priorityCountryRegion_WO,0.0
34,priorityCountryRegion_CA,0.0
35,priorityCountryRegion_TR,0.0
36,priorityCountryRegion_RU,0.0
37,priorityCountryRegion_ZA,0.0
38,priorityCountryRegion_AU,0.0
39,priorityCountryRegion_IT,0.0
40,priorityCountryRegion_JP,0.0
41,priorityCountryRegion_HU,0.0
42,priorityCountryRegion_US,0.0
43,priorityCountryRegion_NO,0.0
44,priorityCountryRegion_CZ,0.0
45,priorityCountryRegion_EP,0.0
46,priorityCountryRegion_SG,0.0
47,priorityCountryRegion_GB,0.0
48,supplementaryPriorityCountryRegion_BY,0.0
49,supplementaryPriorityCountryRegion_AT,0.0
50,supplementaryPriorityCountryRegion_BE,0.0
51,supplementaryPriorityCountryRegion_MY,0.0
52,supplementaryPriorityCountryRegion_MX,0.0
53,supplementaryPriorityCountryRegion_FR,0.0
54,supplementaryPriorityCountryRegion_KR,0.0
55,supplementaryPriorityCountryRegion_SA,0.0
56,supplementaryPriorityCountryRegion_BR,0.0
57,supplementaryPriorityCountryRegion_UA,0.0
58,supplementaryPriorityCountryRegion_NL,0.0
59,supplementaryPriorityCountryRegion_SE,0.0
60,supplementaryPriorityCountryRegion_PL,0.0
61,supplementaryPriorityCountryRegion_PT,0.0
62,supplementaryPriorityCountryRegion_IN,0.0
63,supplementaryPriorityCountryRegion_DK,0.0
64,supplementaryPriorityCountryRegion_LU,0.0
65,supplementaryPriorityCountryRegion_DE,0.0
66,supplementaryPriorityCountryRegion_TW,0.0
67,supplementaryPriorityCountryRegion_CN,0.0
68,supplementaryPriorityCountryRegion_ES,0.0
69,supplementaryPriorityCountryRegion_WO,0.0
70,supplementaryPriorityCountryRegion_CA,0.0
71,supplementaryPriorityCountryRegion_TR,0.0
72,supplementaryPriorityCountryRegion_IL,0.0
73,supplementaryPriorityCountryRegion_RU,0.0
74,supplementaryPriorityCountryRegion_RS,0.0
75,supplementaryPriorityCountryRegion_HK,0.0
76,supplementaryPriorityCountryRegion_BN,0.0
77,supplementaryPriorityCountryRegion_ZA,0.0
78,supplementaryPriorityCountryRegion_AU,0.0
79,supplementaryPriorityCountryRegion_TH,0.0
80,supplementaryPriorityCountryRegion_IT,0.0
81,supplementaryPriorityCountryRegion_JP,0.0
82,supplementaryPriorityCountryRegion_AP,0.0
83,supplementaryPriorityCountryRegion_HU,0.0
84,supplementaryPriorityCountryRegion_US,0.0
85,supplementaryPriorityCountryRegion_NO,0.0
86,supplementaryPriorityCountryRegion_NZ,0.0
87,supplementaryPriorityCountryRegion_CZ,0.0
88,supplementaryPriorityCountryRegion_EP,0.0
89,supplementaryPriorityCountryRegion_JO,0.0
90,supplementaryPriorityCountryRegion_RO,0.0
91,supplementaryPriorityCountryRegion_SG,0.0
92,supplementaryPriorityCountryRegion_EE,0.0
93,supplementaryPriorityCountryRegion_OA,0.0
94,supplementaryPriorityCountryRegion_GB,0.0
