legalStatusEvent,patentType
撤回-视为撤回,发明申请
授权,授权发明
授权,发明申请
授权,发明申请
授权,授权发明
撤回-视为撤回,发明申请
撤回-视为撤回,发明申请
实质审查,发明申请
未缴年费,授权发明
授权,发明申请
授权,授权发明
授权,授权发明
授权,授权发明
授权,授权发明
未缴年费,发明申请
授权,授权发明
实质审查,发明申请
授权,授权发明
授权,授权发明
授权,发明申请
授权,发明申请
公开 | 许可,发明申请
授权,发明申请
权利终止,实用新型
授权,授权发明
实质审查,发明申请
授权,发明申请
授权,授权发明
授权,发明申请
授权,发明申请
授权,发明申请
授权,授权发明
授权,发明申请
授权,授权发明
实质审查,发明申请
实质审查,发明申请
PCT进入指定国（指定期满）,发明申请
授权,发明申请
权利终止,实用新型
授权,实用新型
公开,发明申请
授权,发明申请
授权,授权发明
授权,发明申请
授权,授权发明
授权,授权发明
授权,发明申请
授权,授权发明
授权,发明申请
PCT进入指定国（指定期满）,发明申请
授权,授权发明
授权,发明申请
授权,授权发明
授权 | 许可,发明申请
未缴年费,授权发明
撤回-视为撤回,发明申请
授权,发明申请
授权,发明申请
授权,授权发明
授权,发明申请
授权,授权发明
授权 | 许可,发明申请
授权 | 许可,授权发明
未缴年费,发明申请
授权,授权发明
撤回-视为撤回,发明申请
授权,实用新型
授权,发明申请
授权,发明申请
授权,发明申请
授权,授权发明
授权,发明申请
撤回-视为撤回,发明申请
授权,发明申请
授权,授权发明
撤回-主动撤回,发明申请
撤回-主动撤回,发明申请
授权,发明申请
授权 | 许可,授权发明
授权,发明申请
授权,授权发明
授权,授权发明
授权,授权发明
权利终止,发明申请
PCT进入指定国（指定期满）,发明申请
授权,发明申请
授权,发明申请
授权,发明申请
实质审查,发明申请
PCT进入指定国（指定期满）,发明申请
授权,授权发明
授权,授权发明
授权 | 许可,发明申请
授权 | 许可,授权发明
授权,发明申请
授权,授权发明
授权,发明申请
授权,发明申请
授权,授权发明
授权,发明申请
授权,授权发明
PCT进入指定国（指定期满）,发明申请
授权,授权发明
授权,发明申请
实质审查,发明申请
授权,发明申请
授权,授权发明
授权,发明申请
授权,授权发明
PCT未进入指定国（指定期满）,发明申请
授权,发明申请
授权,授权发明
授权,授权发明
授权,授权发明
授权,发明申请
授权,授权发明
授权,授权发明
撤回-视为撤回,发明申请
撤回-视为撤回,发明申请
PCT未进入指定国（指定期满）,发明申请
授权,授权发明
授权,发明申请
撤回-视为撤回,发明申请
授权,授权发明
撤回-视为撤回,发明申请
授权,发明申请
PCT进入指定国（指定期满）,发明申请
授权,发明申请
授权,发明申请
授权,发明申请
授权,授权发明
授权,授权发明
授权,发明申请
撤回-视为撤回,发明申请
撤回-视为撤回,发明申请
授权,授权发明
授权,发明申请
授权,授权发明
授权,授权发明
授权 | 权利转移,授权发明
授权 | 许可 | 权利转移,发明申请
实质审查,发明申请
PCT进入指定国（指定期满）,发明申请
未缴年费,授权发明
撤回-视为撤回,发明申请
授权,授权发明
撤回-视为撤回,发明申请
PCT进入指定国（指定期满）,发明申请
撤回-视为撤回,发明申请
撤回-视为撤回,发明申请
授权 | 许可 | 权利转移,授权发明
授权,发明申请
授权,授权发明
PCT未进入指定国（指定期满）,发明申请
权利终止,发明申请
PCT进入指定国（指定期满）,发明申请
授权,授权发明
PCT进入指定国（指定期满）,发明申请
撤回-视为撤回,发明申请
权利终止,授权发明
PCT进入指定国（指定期满）,发明申请
权利终止,授权发明
权利终止,发明申请
权利终止,发明申请
授权,发明申请
授权,授权发明
授权,发明申请
授权,授权发明
权利终止,发明申请
PCT进入指定国（指定期满）,发明申请
PCT进入指定国（指定期满）,发明申请
权利终止 | 权利转移,发明申请
PCT进入指定国（指定期满）,发明申请
撤回-视为撤回,发明申请
PCT进入指定国（指定期满）,发明申请
期限届满,授权发明
撤回-视为撤回,发明申请
授权,发明申请
授权,授权发明
授权,发明申请
授权,授权发明
