publicationNumber,applicationDate,publicationDate,priorityCountryRegion,supplementaryPriorityCountryRegion,numberOfInventors,IPC,numberOfClaims,numberOfPagesOfDocuments,numberOfCitedPatents,numberOfPatentsCitedBy,numberOfNonPatentLiteratureCitations,patsnapFamilyPatentApplicationNumber,patSnapFamilyCitedPatentTotal,numberOfCitationsWithin3Years,numberOfCitationsWithin5Years,inpadocFamilyPatentApplicationNumber,simpleFamilyCitedPatentTotal,currentNumberOfApplicantsPatentees,simpleFamilyPatentApplicationNumber,legalStatusEvent,patentType
US20200131901A1,2017/9/15,2020/4/30,CN,CN,2,E21B49/00 | G01N33/24,1,17,0,3,0,3,18,2,2,3,18,1,3,撤回-视为撤回,发明申请
US9910938B2,2013/6/14,2018/3/6,US,US,3,G06F17/50 | E21B43/00 | G01V99/00 | G01V1/28,18,27,3,7,17,4,79,5,6,3,74,1,2,授权,授权发明
US20130346040A1,2013/6/14,2013/12/26,US,US,3,G06F17/50,20,26,3,66,0,4,79,21,45,3,74,1,2,授权,发明申请
US20230027306A1,2022/7/19,2023/1/26,CN,CN,3,B01D45/16 | C10L3/10 | B01D45/14 | B04C5/103 | B04C9/00,9,19,23,2,0,2,3,2,2,2,3,1,2,授权,发明申请
US11857902B2,2022/7/19,2024/1/2,CN,CN,3,B01D45/16 | B01D45/14 | B04C5/103 | B04C9/00,6,20,24,0,0,2,3,0,0,2,3,1,2,授权,授权发明
US20220178252A1,2020/12/8,2022/6/9,-,US,5,E21B49/08 | G01V99/00,10,23,0,0,5,1,0,0,0,1,0,1,1,撤回-视为撤回,发明申请
US20210095212A1,2019/4/4,2021/4/1,US,US,2,C10G45/68 | C07C2/76 | C07C7/11 | B01D3/38,20,7,0,0,0,2,0,0,0,2,0,1,2,撤回-视为撤回,发明申请
US20220049604A1,2020/11/16,2022/2/17,CN,CN,6,E21B49/00,2,11,0,7,0,3,14,7,7,3,14,1,3,实质审查,发明申请
US10151737B2,2016/1/7,2018/12/11,US,US,2,G01N33/24 | E21B49/00,5,13,11,0,15,3,12,0,0,1,12,1,1,未缴年费,授权发明
US20200224522A1,2020/3/30,2020/7/16,CN,CN,8,E21B43/30 | E21B43/16 | E21B41/00,13,15,2,13,0,3,33,13,13,3,33,1,3,授权,发明申请
US9016378B2,2012/4/30,2015/4/28,WO,WO,12,E21B43/26 | E21B4/04 | B65D6/18 | B65D88/00 | B65D88/32 | B65D90/20 | E21B43/00,20,53,29,6,5,3,21,4,5,3,21,1,3,授权,授权发明
US8905137B2,2012/4/30,2014/12/9,-,US,12,E21B43/26 | E21B4/04 | B65D6/18,20,44,29,0,1,3,21,0,0,3,21,1,3,授权,授权发明
US10822938B2,2020/3/30,2020/11/3,CN,CN,8,E21B43/30 | E21B43/16 | E21B41/00,12,16,16,0,5,3,33,0,0,3,33,1,3,授权,授权发明
US10584567B1,2015/12/3,2020/3/10,US,US,1,E21B43/24 | E21B43/16 | E21B47/06,4,6,8,0,0,2,0,0,0,1,0,2,1,授权,授权发明
US20160299117A1,2016/1/7,2016/10/13,US,US,2,G01N33/24 | E21B49/02,11,13,11,12,3,3,12,6,11,1,12,1,1,未缴年费,发明申请
US10131599B2,2014/11/14,2018/11/20,US,US,2,E21B43/26 | C10L1/04 | E21B43/267 | C07C29/00 | E21B43/16 | E21B43/34 | C07C1/24 | C07C41/09 | E21B43/40,14,5,15,5,5,5,10,3,5,5,10,1,5,授权,授权发明
US20220324725A1,2022/3/28,2022/10/13,CN,CN,2,C02F1/00 | G05B19/042,11,15,0,0,0,3,0,0,0,3,0,1,3,实质审查,发明申请
