publicationNumber,applicationDate,publicationDate,numberOfInventors,numberOfClaims,numberOfPagesOfDocuments,numberOfCitedPatents,numberOfPatentsCitedBy,numberOfNonPatentLiteratureCitations,patsnapFamilyPatentApplicationNumber,patSnapFamilyCitedPatentTotal,numberOfCitationsWithin3Years,numberOfCitationsWithin5Years,inpadocFamilyPatentApplicationNumber,simpleFamilyCitedPatentTotal,currentNumberOfApplicantsPatentees,simpleFamilyPatentApplicationNumber,IPCNumbers,priorityCountryRegion_BY,priorityCountryRegion_AT,priorityCountryRegion_BE,priorityCountryRegion_MX,priorityCountryRegion_FR,priorityCountryRegion_KR,priorityCountryRegion_BR,priorityCountryRegion_UA,priorityCountryRegion_NL,priorityCountryRegion_SE,priorityCountryRegion_PL,priorityCountryRegion_PT,priorityCountryRegion_IN,priorityCountryRegion_DK,priorityCountryRegion_DE,priorityCountryRegion_TW,priorityCountryRegion_CN,priorityCountryRegion_WO,priorityCountryRegion_CA,priorityCountryRegion_TR,priorityCountryRegion_RU,priorityCountryRegion_ZA,priorityCountryRegion_AU,priorityCountryRegion_IT,priorityCountryRegion_JP,priorityCountryRegion_HU,priorityCountryRegion_US,priorityCountryRegion_NO,priorityCountryRegion_CZ,priorityCountryRegion_EP,priorityCountryRegion_SG,priorityCountryRegion_GB,supplementaryPriorityCountryRegion_BY,supplementaryPriorityCountryRegion_AT,supplementaryPriorityCountryRegion_BE,supplementaryPriorityCountryRegion_MY,supplementaryPriorityCountryRegion_MX,supplementaryPriorityCountryRegion_FR,supplementaryPriorityCountryRegion_KR,supplementaryPriorityCountryRegion_SA,supplementaryPriorityCountryRegion_BR,supplementaryPriorityCountryRegion_UA,supplementaryPriorityCountryRegion_NL,supplementaryPriorityCountryRegion_SE,supplementaryPriorityCountryRegion_PL,supplementaryPriorityCountryRegion_PT,supplementaryPriorityCountryRegion_IN,supplementaryPriorityCountryRegion_DK,supplementaryPriorityCountryRegion_LU,supplementaryPriorityCountryRegion_DE,supplementaryPriorityCountryRegion_TW,supplementaryPriorityCountryRegion_CN,supplementaryPriorityCountryRegion_ES,supplementaryPriorityCountryRegion_WO,supplementaryPriorityCountryRegion_CA,supplementaryPriorityCountryRegion_TR,supplementaryPriorityCountryRegion_IL,supplementaryPriorityCountryRegion_RU,supplementaryPriorityCountryRegion_RS,supplementaryPriorityCountryRegion_HK,supplementaryPriorityCountryRegion_BN,supplementaryPriorityCountryRegion_ZA,supplementaryPriorityCountryRegion_AU,supplementaryPriorityCountryRegion_TH,supplementaryPriorityCountryRegion_IT,supplementaryPriorityCountryRegion_JP,supplementaryPriorityCountryRegion_AP,supplementaryPriorityCountryRegion_HU,supplementaryPriorityCountryRegion_US,supplementaryPriorityCountryRegion_NO,supplementaryPriorityCountryRegion_NZ,supplementaryPriorityCountryRegion_CZ,supplementaryPriorityCountryRegion_EP,supplementaryPriorityCountryRegion_JO,supplementaryPriorityCountryRegion_RO,supplementaryPriorityCountryRegion_SG,supplementaryPriorityCountryRegion_EE,supplementaryPriorityCountryRegion_OA,supplementaryPriorityCountryRegion_GB
US20200131901A1,17424,18382,2,1,17,0,3,0,3,18,2,2,3,18,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US9910938B2,15870,17596,3,18,27,3,7,17,4,79,5,6,3,74,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US20130346040A1,15870,16065,3,20,26,3,66,0,4,79,21,45,3,74,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US20230027306A1,19192,19383,3,9,19,23,2,0,2,3,2,2,2,3,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US11857902B2,19192,19724,3,6,20,24,0,0,2,3,0,0,2,3,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US20220178252A1,18604,19152,5,10,23,0,0,5,1,0,0,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US20210095212A1,17990,18718,2,20,7,0,0,0,2,0,0,0,2,0,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US20220049604A1,18582,19040,6,2,11,0,7,0,3,14,7,7,3,14,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US10151737B2,16807,17876,2,5,13,11,0,15,3,12,0,0,1,12,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US20200224522A1,18351,18459,8,13,15,2,13,0,3,33,13,13,3,33,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
